Branch,Weather Event,Named Storm,Date of Weather Event,Year,Appropriation,Line Item/SAG,Line Item/SAG title,Details of Expense,Installation,State,Cost
USAR,Tropical Storm,Debby,8/1/24,2024,OMAR,132,FSRM,Roof Leaks/Fence/Interior damage/Window damage,St. Petersburg,FL,250000
USAR,Thunderstorm Wind,,8/1/24,2024,OMAR,132,FSRM,Cooling system damage (Lightning Strike),St. Petersburg,FL,15000
USAR,Thunderstorm Wind,,8/1/24,2024,OMAR,132,FSRM,Fence damage due to fallen tree,Athens,GA,5000
USAR,Thunderstorm Wind,,8/1/24,2024,OMAR,132,FSRM,Fence damage due to fallen tree,Gainesville,GA,5000
USAR,Hurricane (Typhoon),Francine,9/1/24,2024,OMAR,132,FSRM,Repair Interior Water Damage,New Orleans,LA,5000
USAR,Hurricane (Typhoon),Helene,9/1/24,2024,OMAR,132,FSRM,Replace Light Pole Damaged from Hurricane Winds,St. Petersburg,FL,15000
USAR,Hurricane (Typhoon),Helene,9/1/24,2024,OMAR,132,FSRM,Replace Light Pole Damaged from Hurricane Winds,Miami,FL,15000
USAR,Hurricane (Typhoon),Helene,9/1/24,2024,OMAR,132,FSRM,Repair Roof and Interior Water Damage,Tampa,FL,10000
USAR,Hurricane (Typhoon),Helene,9/1/24,2024,OMAR,132,FSRM,Repair Roof and Interior Water Damage,Tampa,FL,10000
USAR,Hurricane (Typhoon),Helene,9/1/24,2024,OMAR,132,FSRM,Repair Roof,Lexington,KY,5000
USAR,Hurricane (Typhoon),Helene,9/1/24,2024,OMAR,132,FSRM,Repair Roof Leaks and Interior Water Damage,Fort Knox,KY,8000
USAR,Hurricane (Typhoon),Helene,9/1/24,2024,OMAR,132,FSRM,Repair Roof,Fort Thomas,KY,150000
USAR,Hurricane (Typhoon),Helene,9/1/24,2024,OMAR,132,FSRM,Repair Roof Leaks and Interior Water Damage,Knoxville,TN,5000
USAR,Hurricane (Typhoon),Helene,9/1/24,2024,OMAR,132,FSRM,Remove Tree,Aiken,SC,2500
USAR,Hurricane (Typhoon),Helene,9/1/24,2024,OMAR,132,FSRM,Replace Roof and  Repair Interior Water Damage,Fort Jackson,SC,3963000
USAR,Hurricane (Typhoon),Helene,9/1/24,2024,OMAR,132,FSRM,Repair Roof Leaks and Interior Water Damage,Greenville,SC,2500
USAR,Hurricane (Typhoon),Helene,9/1/24,2024,OMAR,132,FSRM,Replace Roof and  Repair Interior Water Damage,Charleston,SC,3095000
USAR,Hurricane (Typhoon),Helene,9/1/24,2024,OMAR,132,FSRM,Repair Roof Leaks and Interior Water Damage,St. Petersburg,GA,125000
USAR,Hurricane (Typhoon),Helene,9/1/24,2024,OMAR,132,FSRM,Repair Fence,Asheville,NC,5000
USAR,Hurricane (Typhoon),Helene,9/1/24,2024,OMAR,132,FSRM,Remove Tree and Repair Fence,Lumberton,NC,7500
USAR,Hurricane (Typhoon),Milton,10/1/24,2024,OMAR,132,FSRM,"Repair Window Leaks, Roof and Interior Water Damages",MacDill AFB,FL,350000
USAR,Hurricane (Typhoon),Milton,10/1/24,2024,OMAR,132,FSRM,Replace Exterior HVAC Equipment,Tallahassee,FL,500000
USAR,Hurricane (Typhoon),Milton,10/1/24,2024,OMAR,132,FSRM,Replace Exterior Windows,Orlando,FL,750000
USAR,Hurricane (Typhoon),Milton,10/1/24,2024,OMAR,132,FSRM,Repair Exterior Wall and Interior Water Damage,"Tampa,FL ",250000,
USAR,Hurricane (Typhoon),Milton,10/1/24,2024,OMAR,132,FSRM,Repair Interior Water Damage,"Tampa,FL ",200000,
